rawText,ingredientMasterId
루테인지아잔틴복합추출물20%(기능성원료인정제2013-23호),216
마리골드꽃추출물(지아잔틴함유)(제2026-9호),232
비타민 A 아세테이트 분말,300
유청분말,90
젖산철(고시형),482
타마린드강황주정추출복합물(TamaFlexⓇ)(제2024-12호),510
미강주정추출물(기능성원료인정제2018-3호),247
미역 등 복합추출물(잔티젠)(기능성원료인정제2013-10호),250
비타민 B2 인산에스테르나트륨(고시형),303
Bifidobacterium bifidum,541
Lactobacillus sakei Probio65(기능성원료인정제2013-17호),65
꾸지뽕잎추출물(기능성원료인정제2021-16호),145
비타민 A,300
비타민 E 혼합분말,307
비타민C혼합분말,305
옥타코사놀,408
젖산철,482
코엔자임 Q10,493
풋사과추출물 애플페논(Applephenon)(기능성원료인정제2019-21호),539
호박씨추출물 등 복합물(기능성원료인정제2014-43호),579
나토균배양분말(기능성원료인정제2012-7호),148
인삼,435
인삼농축액분말,435
6년근농축액(농축물),586
"Bifidobacterium animalis spp. lactis분말(가루, 과립)(생균으로 100,000,000,000개/g 이상, 보호제 및 희석제 적량)",541
루바브뿌리추출물(기능성원료인정제2021-17호),212
보이차추출물(기능성원료인정제2014-7호),289
알로에아보레센스(고시형),382
피쉬 콜라겐펩타이드(기능성원료인정제2019-12호),555
Bifidobacterium lactis,541
강황 추출물(터마신)(기능성원료인정제2014-2호),112
"락토바실루스 람노수스 유산균{LACTOBACILLUS RHAMNOSUS의 생균으로 100,000,000,000개/g 이상, 희석제(옥수수전분) 적량}",541
레몬버베나추출물 등 복합물(티에뜨레Ⓡ)(제2022-13호),207
보스웰리아추출물(SERRATRIN)(기능성 원료 인정서 제2022-17호),287
보스웰리아추출물등 복합물(Flexir)(기능성원료인정제2021-9호),288
유산균배양액,541
황기추출물 등 복합물(HT042)(기능성원료인정제2014-40호),594
"Streptococcus thermophilus분말(가루, 과립)(생균으로 100,000,000,000개/g 이상, 보호제 및 희석제 적량)",541
그린커피빈추출물(기능성원료인정제2014-31호),136
분리유단백,163
비타민K1혼합분말,308
오미자추출물(기능성원료인정제2018-9호),403
제삼인산칼슘,491
프로바이오틱스 HY7714(기능성원료인정제2015-1호),543
4년근(고시형),586
HK표고버섯균사체(기능성원료인정제2010-35호),34
과채유래유산균(L.plantarum CJLP133)(기능성원료인정제2013-11호),55
당근추출분말,277
보스웰리아 추출물(Boswellia serrata R. extract)(기능성원료인정제2014-23호),283
유산균,541
저분자 피쉬 콜라겐 펩타이드 (Naticol® BPMG)(제2023-25호),448
